HS001-Cao Thái Bảo-01/01/2017-01, Nguyễn Văn Trỗi, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A1
HS034-Lê Thị Thúy-10/11/2015-34, Nguyễn Văn Lợi, Phường 4, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A3
HS035-Phạm Văn Hiệp-03/03/2015-35, Trần Thị Hương, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A3
HS036-Đỗ Văn Tài-25/08/2015-36, Hoàng Văn Tùng, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A3
HS037-Nguyễn Thị Quyên-01/06/2014-37, Lê Thị Thu Hà, Phường 7, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A1
HS038-Võ Thị Mai-18/09/2014-38, Phan Thị Thu, Phường 8, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A1
HS039-Phạm Văn Tuấn-07/04/2014-39, Bùi Văn Hùng, Phường 9, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A1
HS040-Trần Thị Thảo-30/01/2014-40, Nguyễn Thị Hằng, Phường 10, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A1
HS041-Lê Thị Hòa-12/10/2014-41, Lâm Văn Dũng, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A2
HS042-Nguyễn Văn Nam-05/11/2014-42, Hoàng Văn Hoàng, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A2
HS043-Trần Văn Đức-09/03/2014-43, Đặng Văn Thịnh, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A2
HS044-Phạm Thị Hương-16/02/2014-44, Lê Thị Hoài, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A2
HS045-Nguyễn Văn Anh-28/07/2014-45, Trương Thị Thảo, Phường 4, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A3
HS046-Hoàng Thị Thu-15/06/2014-46, Phan Thị Hoa, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A3
HS047-Trịnh Văn Đình-14/05/2014-47, Võ Văn Hiếu, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A3
HS048-Nguyễn Thị Tâm-08/12/2014-48, Lê Thị Tuyết, Phường 7, Quận Bình Thạnh, Thành phố Hồ Chí Minh-4A3
HS049-Lê Văn Khôi-11/01/2013-49, Hoàng Văn Tùng, Phường 8, Quận Bình Thạnh, Thành phố Hồ Chí Minh-5A1
HS050-Phạm Thị Phượng-25/04/2013-50, Nguyễn Văn Hòa, Phường 9, Quận Bình Thạnh, Thành phố Hồ Chí Minh-5A1
HS051-Nguyễn Thị Thu Trang-05/09/2013-51, Hoàng Thị Hằng, Phường 3, Quận Tân Bình, Thành phố Hồ Chí Minh-5A1
HS052-Lê Thị Hà-18/04/2013-52, Lâm Văn Dũng, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh-5A1
HS053-Phạm Văn Dũng-01/12/2013-53, Trần Thị Hương, Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh-5A2
HS054-Trần Văn Hoàn-21/03/2013-54, Đặng Thị Mai, Phường 6, Quận Tân Bình, Thành phố Hồ Chí Minh-5A2
HS055-Lê Thị Hạnh-14/08/2013-55, Trần Văn Hoàng, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh-5A2
HS056-Nguyễn Thị Nga-09/01/2013-56, Nguyễn Văn An, Phường 5, Quận Tân Bình, Thành phố Hồ Chí Minh-5A2
HS057-Hoàng Văn Nam-02/06/2013-57, Phạm Thị Hằng, Phường 7, Quận Tân Bình, Thành phố Hồ Chí Minh-5A3
HS058-Phạm Thị Phượng-27/11/2013-58, Trần Văn Đức, Phường 8, Quận Tân Bình, Thành phố Hồ Chí Minh-5A3
HS059-Nguyễn Thị Thu Hiền-08/05/2013-59, Nguyễn Thị Lan, Phường 9, Quận Tân Bình, Thành phố Hồ Chí Minh-5A3
HS060-Lê Văn Hoàng-15/10/2013-60, Trịnh Văn Đông, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh-5A3
