PH001-Nguyen Van Linh-01/01/1976-01, Nguyen Van Troi, Phuong 5, Quan 1, Thanh pho Ho Chi Minh-0832156378-male-HS001
PH030-Vu Van Thanh-08/06/1976-30, Vu Van Thanh, Phuong 8, Quan 4, Thanh pho Ho Chi Minh-0832156407-male-HS030
PH031-Le Van Binh-17/02/1974-31, Le Van Binh, Phuong 1, Quan 2, Thanh pho Ho Chi Minh-0832156408-male-HS031
PH032-Phan Van Hung-29/12/1977-32, Phan Van Hung, Phuong 2, Quan 3, Thanh pho Ho Chi Minh-0832156409-male-HS032
PH033-Vo Thi Hoang-13/07/1976-33, Vo Thi Hoang, Phuong 3, Quan 4, Thanh pho Ho Chi Minh-0832156410-female-HS033
PH034-Nguyen Van Loi-10/11/1975-34, Nguyen Van Loi, Phuong 4, Quan 5, Thanh pho Ho Chi Minh-0832156411-male-HS034
PH035-Tran Thi Huong-03/03/1976-35, Tran Thi Huong, Phuong 5, Quan 6, Thanh pho Ho Chi Minh-0832156412-female-HS035
PH036-Hoang Van Tung-25/08/1977-36, Hoang Van Tung, Phuong 6, Quan 7, Thanh pho Ho Chi Minh-0832156413-male-HS036
PH037-Le Thi Thu Ha-01/06/1975-37, Le Thi Thu Ha, Phuong 7, Quan 8, Thanh pho Ho Chi Minh-0832156414-female-HS037
PH038-Phan Thi Thu-18/09/1973-38, Phan Thi Thu, Phuong 8, Quan 9, Thanh pho Ho Chi Minh-0832156415-female-HS038
PH039-Bui Van Hung-07/04/1976-39, Bui Van Hung, Phuong 9, Quan 10, Thanh pho Ho Chi Minh-0832156416-male-HS039
PH040-Nguyen Thi Hang-30/01/1975-40, Nguyen Thi Hang, Phuong 10, Quan 11, Thanh pho Ho Chi Minh-0832156417-female-HS040
PH041-Lam Van Dung-12/10/1977-41, Lam Van Dung, Phuong 11, Quan 12, Thanh pho Ho Chi Minh-0832156418-male-HS041
PH042-Hoang Van Hoang-05/11/1974-42, Hoang Van Hoang, Phuong 1, Quan Binh Tan, Thanh pho Ho Chi Minh-0832156419-male-HS042
PH043-Dang Van Thinh-09/03/1976-43, Dang Van Thinh, Phuong 2, Quan Binh Chanh, Thanh pho Ho Chi Minh-0832156420-male-HS043
PH044-Le Thi Hoai-16/02/1975-44, Le Thi Hoai, Phuong 3, Quan Binh Thanh, Thanh pho Ho Chi Minh-0832156421-female-HS044
PH045-Truong Thi Thao-28/07/1974-45, Truong Thi Thao, Phuong 4, Quan Go Vap, Thanh pho Ho Chi Minh-0832156422-female-HS045
PH046-Phan Thi Hoa-15/06/1977-46, Phan Thi Hoa, Phuong 5, Quan Phu Nhuan, Thanh pho Ho Chi Minh-0832156423-female-HS046
PH047-Vo Van Hieu-14/05/1976-47, Vo Van Hieu, Phuong 6, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156424-male-HS047
PH048-Le Thi Tuyet-08/12/1978-48, Le Thi Tuyet, Phuong 7, Quan Tan Phu, Thanh pho Ho Chi Minh-0832156425-female-HS048
PH049-Hoang Van Tung-11/01/1974-49, Hoang Van Tung, Phuong 8, Quan Cu Chi, Thanh pho Ho Chi Minh-0832156426-male-HS049
PH050-Nguyen Van Hoa-25/04/1977-50, Nguyen Van Hoa, Phuong 9, Quan Hoc Mon, Thanh pho Ho Chi Minh-0832156427-male-HS050
PH051-Pham Van Linh-01/01/1956-51, Hoang Thi Hang, Phuong 3, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156428-male-HS051
PH052-Le Thi Hai-15/05/1958-52, Lam Van Dung, Phuong 2, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156429-female-HS052
PH053-Pham Thi Phuong-20/09/1957-53, Tran Thi Huong, Phuong 1, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156430-female-HS053
PH054-Nguyen Van Dong-03/11/1954-54, Dang Thi Mai, Phuong 6, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156431-male-HS054
PH055-Tran Thi Ha-12/12/1956-55, Tran Van Hoang, Phuong 4, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156432-female-HS055
PH056-Le Thi Mai-09/08/1959-56, Nguyen Van An, Phuong 5, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156433-female-HS056
PH057-Do Van Hung-28/02/1955-57, Pham Thi Hang, Phuong 7, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156434-male-HS057
PH058-Nguyen Van Hoa-14/06/1954-58, Tran Van Duc, Phuong 8, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156435-male-HS058
PH059-Tran Thi Hoa-19/03/1955-59, Nguyen Thi Lan, Phuong 9, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156436-female-HS059
PH060-Hoang Thi Hoa-10/10/1957-60, Trinh Van Dong, Phuong 10, Quan Tan Binh, Thanh pho Ho Chi Minh-0832156437-female-HS060
