Pupil Management List:
ID   	Fullname            	Sex   	BirthDate 	Address                                                                         	Class
HS018	Hoang Thi Hanh      	female	23/08/2016	18, Duong Do Van Dong, Phuong 4, Quan Binh Thanh, Thanh pho Ho Chi Minh         	2A2
HS019	Trinh Van Hoa       	male  	02/10/2016	19, Duong Pham Thi Loan, Phuong 1, Quan Binh Thanh, Thanh pho Ho Chi Minh       	2A2
HS020	Nguyen Thi Thu Ha   	female	16/06/2016	20, Duong Vu Minh Hoa, Phuong 8, Quan Binh Thanh, Thanh pho Ho Chi Minh         	2A2
HS021	Vo Thi Hoang        	female	14/05/2016	21, Duong Tran Van Duc, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh        	2A3
HS022	Lam Van Hung        	male  	09/01/2016	22, Duong Bui Thi Thao, Phuong 3, Quan Binh Thanh, Thanh pho Ho Chi Minh        	2A3
HS023	Huynh Thi Thanh     	female	20/03/2016	23, Duong Nguyen Van Phuc, Phuong 2, Quan Binh Thanh, Thanh pho Ho Chi Minh     	2A3
HS024	Nguyen Thi Thuy     	female	07/07/2016	24, Duong Vo Van Hung, Phuong 1, Quan Binh Thanh, Thanh pho Ho Chi Minh         	2A3
HS025	Tran Van Hoang      	male  	12/12/2015	25, Duong Le Thi Ly, Phuong 9, Quan Binh Thanh, Thanh pho Ho Chi Minh           	3A1
HS026	Pham Thi Ngoc       	female	25/09/2015	26, Duong Truong Van Long, Phuong 4, Quan Binh Thanh, Thanh pho Ho Chi Minh     	3A1
HS027	Nguyen Thi Ha       	female	19/10/2015	27, Duong Lam Van Tai, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh         	3A1
HS028	Le Van Duc          	male  	11/08/2015	28, Duong Nguyen Thi Ngoc, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh     	3A1
HS029	Hoang Thi Hang      	female	04/04/2015	29, Duong Pham Van Khoa, Phuong 7, Quan Binh Thanh, Thanh pho Ho Chi Minh       	3A2
HS030	Trinh Van Dong      	male  	08/06/2015	30, Duong Vu Van Thanh, Phuong 8, Quan Binh Thanh, Thanh pho Ho Chi Minh        	3A2
HS031	Dang Thi Huong      	female	17/02/2015	31, Duong Le Van Binh, Phuong 1, Quan Binh Thanh, Thanh pho Ho Chi Minh         	3A2
HS032	Nguyen Thi Lan      	male  	29/12/2015	32, Duong Phan Van Hung, Phuong 2, Quan Binh Thanh, Thanh pho Ho Chi Minh       	3A2
HS033	Hoang Van Khanh     	male  	13/07/2015	33, Duong Vo Thi Hoang, Phuong 3, Quan Binh Thanh, Thanh pho Ho Chi Minh        	3A3
HS034	Le Thi Thuy         	female	10/11/2015	34, Duong Nguyen Van Loi, Phuong 4, Quan Binh Thanh, Thanh pho Ho Chi Minh      	3A3
HS035	Pham Van Hiep       	male  	03/03/2015	35, Duong Tran Thi Huong, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh      	3A3
HS036	Do Van Tai          	male  	25/08/2015	36, Duong Hoang Van Tung, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh      	3A3
HS037	Nguyen Thi Quyen    	female	01/06/2014	37, Duong Le Thi Thu Ha, Phuong 7, Quan Binh Thanh, Thanh pho Ho Chi Minh       	4A1
HS038	Vo Thi Mai          	female	18/09/2014	38, Duong Phan Thi Thu, Phuong 8, Quan Binh Thanh, Thanh pho Ho Chi Minh        	4A1
HS039	Pham Van Tuan       	male  	07/04/2014	39, Duong Bui Van Hung, Phuong 9, Quan Binh Thanh, Thanh pho Ho Chi Minh        	4A1
HS040	Tran Thi Thao       	female	30/01/2014	40, Duong Nguyen Thi Hang, Phuong 10, Quan Binh Thanh, Thanh pho Ho Chi Minh    	4A1
HS041	Le Thi Hoa          	female	12/10/2014	41, Duong Lam Van Dung, Phuong 11, Quan Binh Thanh, Thanh pho Ho Chi Minh       	4A2
HS042	Nguyen Van Nam      	male  	05/11/2014	42, Duong Hoang Van Hoang, Phuong 1, Quan Binh Thanh, Thanh pho Ho Chi Minh     	4A2
HS043	Tran Van Duc        	male  	09/03/2014	43, Duong Dang Van Thinh, Phuong 2, Quan Binh Thanh, Thanh pho Ho Chi Minh      	4A2
HS044	Pham Thi Huong      	female	16/02/2014	44, Duong Le Thi Hoai, Phuong 3, Quan Binh Thanh, Thanh pho Ho Chi Minh         	4A2
HS045	Nguyen Van Anh      	male  	28/07/2014	45, Duong Truong Thi Thao, Phuong 4, Quan Binh Thanh, Thanh pho Ho Chi Minh     	4A3
HS046	Hoang Thi Thu       	female	15/06/2014	46, Duong Phan Thi Hoa, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh        	4A3
HS047	Trinh Van Dinh      	male  	14/05/2014	47, Duong Vo Van Hieu, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh         	4A3
HS048	Nguyen Thi Tam      	female	08/12/2014	48, Duong Le Thi Tuyet, Phuong 7, Quan Binh Thanh, Thanh pho Ho Chi Minh        	4A3
HS049	Le Van Khoi         	male  	11/01/2013	49, Duong Hoang Van Tung, Phuong 8, Quan Binh Thanh, Thanh pho Ho Chi Minh      	5A1
HS050	Pham Thi Phuong     	female	25/04/2013	50, Duong Nguyen Van Hoa, Phuong 9, Quan Binh Thanh, Thanh pho Ho Chi Minh      	5A1
HS051	Nguyen Thi Thu Trang	female	05/09/2013	51, Duong Hoang Thi Hang, Phuong 3, Quan Tan Binh, Thanh pho Ho Chi Minh        	5A1
HS052	Le Thi Ha           	male  	18/04/2013	52, Duong Lam Van Dung, Phuong 2, Quan Tan Binh, Thanh pho Ho Chi Minh          	5A1
HS053	Pham Van Dung       	male  	01/12/2013	53, Duong Tran Thi Huong, Phuong 1, Quan Tan Binh, Thanh pho Ho Chi Minh        	5A2
HS054	Tran Van Hoan       	male  	21/03/2013	54, Duong Dang Thi Mai, Phuong 6, Quan Tan Binh, Thanh pho Ho Chi Minh          	5A2
HS055	Le Thi Hanh         	female	14/08/2013	55, Duong Tran Van Hoang, Phuong 4, Quan Tan Binh, Thanh pho Ho Chi Minh        	5A2
HS056	Nguyen Thi Nga      	female	09/01/2013	56, Duong Nguyen Van An, Phuong 5, Quan Tan Binh, Thanh pho Ho Chi Minh         	5A2
HS057	Hoang Van Nam       	male  	02/06/2013	57, Duong Pham Thi Hang, Phuong 7, Quan Tan Binh, Thanh pho Ho Chi Minh         	5A3
HS058	Pham Thi Phuong     	male  	27/11/2013	58, Duong Tran Van Duc, Phuong 8, Quan Tan Binh, Thanh pho Ho Chi Minh          	5A3
HS059	Nguyen Thi Thu Hien 	female	08/05/2013	59, Duong Nguyen Thi Lan, Phuong 9, Quan Tan Binh, Thanh pho Ho Chi Minh        	5A3
HS060	Le Van Hoang        	male  	15/10/2013	60, Duong Trinh Van Dong, Phuong 10, Quan Tan Binh, Thanh pho Ho Chi Minh       	5A3
================================================================
Parent Management List:
ID   	Fullname            	Sex   	BirthDate 	Address                                                                         	Phone Number
HS001	Nguyen Van Linh     	male  	01/01/1976	01, Duong Nguyen Van Troi, Phuong 5, Quan 1, Thanh pho Ho Chi Minh              	0832156378
HS002	Le Thi Hai          	female	15/05/1978	02, Duong Tran Van Hoa, Phuong 2, Quan 1, Thanh pho Ho Chi Minh                 	0832156379
HS003	Pham Thi Phuong     	female	20/09/1977	03, Duong Hoang Thi Thu, Phuong 7, Quan 3, Thanh pho Ho Chi Minh                	0832156380
HS004	Nguyen Van Dong     	male  	03/11/1974	04, Duong Vu Minh Khoi, Phuong 9, Quan 5, Thanh pho Ho Chi Minh                 	0832156381
HS005	Tran Thi Ha         	female	12/12/1976	05, Duong Dang Thi Hoa, Phuong 1, Quan 4, Thanh pho Ho Chi Minh                 	0832156382
HS006	Le Thi Mai          	male  	09/08/1979	06, Duong Phan Van Thanh, Phuong 3, Quan 11, Thanh pho Ho Chi Minh              	0832156383
HS007	Do Van Hung         	male  	28/02/1975	07, Duong Le Minh Tam, Phuong 10, Quan 10, Thanh pho Ho Chi Minh                	0832156384
HS008	Nguyen Van Hoa      	male  	14/06/1974	08, Duong Lam Thi Mai, Phuong 4, Quan 7, Thanh pho Ho Chi Minh                  	0832156385
HS009	Tran Thi Hoa        	female	19/03/1975	09, Duong Nguyen Van Nam, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh      	0832156386
HS010	Hoang Thi Hoa       	female	10/10/1977	10, Duong Pham Thi Phuong, Phuong 8, Quan Phu Nhuan, Thanh pho Ho Chi Minh      	0832156387
HS011	Le Minh Tuan        	male  	04/07/1974	11, Duong Trinh Thi Anh, Phuong 2, Quan 1, Thanh pho Ho Chi Minh                	0832156388
HS012	Phan Van Thang      	male  	27/11/1976	12, Duong Vo Thi Huong, Phuong 11, Quan Tan Phu, Thanh pho Ho Chi Minh          	0832156389
HS013	Bui Thi Loan        	female	08/09/1977	13, Duong Bui Van Thang, Phuong 9, Quan 4, Thanh pho Ho Chi Minh                	0832156390
HS014	Le Thi Ngoc         	female	21/01/1976	14, Duong Le Thi Ngoc, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh         	0832156391
HS015	Phan Minh Tuan      	male  	30/04/1974	15, Duong Phan Minh Tuan, Phuong 7, Quan 3, Thanh pho Ho Chi Minh               	0832156392
HS016	Tran Thi Huong      	female	05/03/1975	16, Duong Tran Thi Huong, Phuong 10, Quan 1, Thanh pho Ho Chi Minh              	0832156393
HS017	Hoang Minh Thanh    	male  	18/12/1973	17, Duong Hoang Minh Thanh, Phuong 4, Quan 7, Thanh pho Ho Chi Minh             	0832156394
HS018	Do Van Dong         	male  	23/08/1975	18, Duong Do Van Dong, Phuong 1, Quan 1, Thanh pho Ho Chi Minh                  	0832156395
HS019	Pham Thi Loan       	female	02/10/1976	19, Duong Pham Thi Loan, Phuong 8, Quan 10, Thanh pho Ho Chi Minh               	0832156396
HS020	Vu Minh Hoa         	male  	14/05/1977	20, Duong Vu Minh Hoa, Phuong 3, Quan 6, Thanh pho Ho Chi Minh                  	0832156397
HS021	Tran Van Duc        	male  	16/06/1975	21, Duong Tran Van Duc, Phuong 6, Quan 8, Thanh pho Ho Chi Minh                 	0832156398
HS022	Bui Thi Thao        	female	09/01/1976	22, Duong Bui Thi Thao, Phuong 3, Quan 11, Thanh pho Ho Chi Minh                	0832156399
HS023	Nguyen Van Phuc     	male  	20/03/1978	23, Duong Nguyen Van Phuc, Phuong 2, Quan 10, Thanh pho Ho Chi Minh             	0832156400
HS024	Vo Van Hung         	male  	07/07/1977	24, Duong Vo Van Hung, Phuong 1, Quan 4, Thanh pho Ho Chi Minh                  	0832156401
HS025	Le Thi Ly           	female	12/12/1975	25, Duong Le Thi Ly, Phuong 9, Quan 1, Thanh pho Ho Chi Minh                    	0832156402
HS026	Truong Van Long     	male  	25/09/1976	26, Duong Truong Van Long, Phuong 4, Quan 7, Thanh pho Ho Chi Minh              	0832156403
HS027	Lam Van Tai         	male  	19/10/1974	27, Duong Lam Van Tai, Phuong 5, Quan 1, Thanh pho Ho Chi Minh                  	0832156404
HS028	Nguyen Thi Ngoc     	female	11/08/1975	28, Duong Nguyen Thi Ngoc, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh     	0832156405
HS029	Pham Van Khoa       	male  	04/04/1977	29, Duong Pham Van Khoa, Phuong 7, Quan 1, Thanh pho Ho Chi Minh                	0832156406
HS030	Vu Van Thanh        	male  	08/06/1976	30, Duong Vu Van Thanh, Phuong 8, Quan 4, Thanh pho Ho Chi Minh                 	0832156407
HS031	Le Van Binh         	male  	17/02/1974	31, Duong Le Van Binh, Phuong 1, Quan 2, Thanh pho Ho Chi Minh                  	0832156408
HS032	Phan Van Hung       	male  	29/12/1977	32, Duong Phan Van Hung, Phuong 2, Quan 3, Thanh pho Ho Chi Minh                	0832156409
HS033	Vo Thi Hoang        	female	13/07/1976	33, Duong Vo Thi Hoang, Phuong 3, Quan 4, Thanh pho Ho Chi Minh                 	0832156410
HS034	Nguyen Van Loi      	male  	10/11/1975	34, Duong Nguyen Van Loi, Phuong 4, Quan 5, Thanh pho Ho Chi Minh               	0832156411
HS035	Tran Thi Huong      	female	03/03/1976	35, Duong Tran Thi Huong, Phuong 5, Quan 6, Thanh pho Ho Chi Minh               	0832156412
HS036	Hoang Van Tung      	male  	25/08/1977	36, Duong Hoang Van Tung, Phuong 6, Quan 7, Thanh pho Ho Chi Minh               	0832156413
HS037	Le Thi Thu Ha       	female	01/06/1975	37, Duong Le Thi Thu Ha, Phuong 7, Quan 8, Thanh pho Ho Chi Minh                	0832156414
HS038	Phan Thi Thu        	female	18/09/1973	38, Duong Phan Thi Thu, Phuong 8, Quan 9, Thanh pho Ho Chi Minh                 	0832156415
HS039	Bui Van Hung        	male  	07/04/1976	39, Duong Bui Van Hung, Phuong 9, Quan 10, Thanh pho Ho Chi Minh                	0832156416
HS040	Nguyen Thi Hang     	female	30/01/1975	40, Duong Nguyen Thi Hang, Phuong 10, Quan 11, Thanh pho Ho Chi Minh            	0832156417
HS041	Lam Van Dung        	male  	12/10/1977	41, Duong Lam Van Dung, Phuong 11, Quan 12, Thanh pho Ho Chi Minh               	0832156418
HS042	Hoang Van Hoang     	male  	05/11/1974	42, Duong Hoang Van Hoang, Phuong 1, Quan Binh Tan, Thanh pho Ho Chi Minh       	0832156419
HS043	Dang Van Thinh      	male  	09/03/1976	43, Duong Dang Van Thinh, Phuong 2, Quan Binh Chanh, Thanh pho Ho Chi Minh      	0832156420
HS044	Le Thi Hoai         	female	16/02/1975	44, Duong Le Thi Hoai, Phuong 3, Quan Binh Thanh, Thanh pho Ho Chi Minh         	0832156421
HS045	Truong Thi Thao     	female	28/07/1974	45, Duong Truong Thi Thao, Phuong 4, Quan Go Vap, Thanh pho Ho Chi Minh         	0832156422
HS046	Phan Thi Hoa        	female	15/06/1977	46, Duong Phan Thi Hoa, Phuong 5, Quan Phu Nhuan, Thanh pho Ho Chi Minh         	0832156423
HS047	Vo Van Hieu         	male  	14/05/1976	47, Duong Vo Van Hieu, Phuong 6, Quan Tan Binh, Thanh pho Ho Chi Minh           	0832156424
HS048	Le Thi Tuyet        	female	08/12/1978	48, Duong Le Thi Tuyet, Phuong 7, Quan Tan Phu, Thanh pho Ho Chi Minh           	0832156425
HS049	Hoang Van Tung      	male  	11/01/1974	49, Duong Hoang Van Tung, Phuong 8, Quan Cu Chi, Thanh pho Ho Chi Minh          	0832156426
HS050	Nguyen Van Hoa      	male  	25/04/1977	50, Duong Nguyen Van Hoa, Phuong 9, Quan Hoc Mon, Thanh pho Ho Chi Minh         	0832156427
HS051	Pham Van Linh       	male  	01/01/1956	51, Duong Hoang Thi Hang, Phuong 3, Quan Tan Binh, Thanh pho Ho Chi Minh        	0832156428
HS052	Le Thi Hai          	female	15/05/1958	52, Duong Lam Van Dung, Phuong 2, Quan Tan Binh, Thanh pho Ho Chi Minh          	0832156429
HS053	Pham Thi Phuong     	female	20/09/1957	53, Duong Tran Thi Huong, Phuong 1, Quan Tan Binh, Thanh pho Ho Chi Minh        	0832156430
HS054	Nguyen Van Dong     	male  	03/11/1954	54, Duong Dang Thi Mai, Phuong 6, Quan Tan Binh, Thanh pho Ho Chi Minh          	0832156431
HS055	Tran Thi Ha         	female	12/12/1956	55, Duong Tran Van Hoang, Phuong 4, Quan Tan Binh, Thanh pho Ho Chi Minh        	0832156432
HS056	Le Thi Mai          	female	09/08/1959	56, Duong Nguyen Van An, Phuong 5, Quan Tan Binh, Thanh pho Ho Chi Minh         	0832156433
HS057	Do Van Hung         	male  	28/02/1955	57, Duong Pham Thi Hang, Phuong 7, Quan Tan Binh, Thanh pho Ho Chi Minh         	0832156434
HS058	Nguyen Van Hoa      	male  	14/06/1954	58, Duong Tran Van Duc, Phuong 8, Quan Tan Binh, Thanh pho Ho Chi Minh          	0832156435
HS059	Tran Thi Hoa        	female	19/03/1955	59, Duong Nguyen Thi Lan, Phuong 9, Quan Tan Binh, Thanh pho Ho Chi Minh        	0832156436
HS060	Hoang Thi Hoa       	female	10/10/1957	60, Duong Trinh Van Dong, Phuong 10, Quan Tan Binh, Thanh pho Ho Chi Minh       	0832156437
================================================================
Search result:
ID   	Fullname            	Sex   	BirthDate 	Address                                                                         	Phone Number
================================================================
Search result:
ID   	Fullname            	Sex   	BirthDate 	Address                                                                         	Class
HS017	Le Thi Thu          	female	18/12/2016	17, Duong Hoang Minh Thanh, Phuong 10, Quan Binh Thanh, Thanh pho Ho Chi Minh   	2A2
HS020	Nguyen Thi Thu Ha   	female	16/06/2016	20, Duong Vu Minh Hoa, Phuong 8, Quan Binh Thanh, Thanh pho Ho Chi Minh         	2A2
HS024	Nguyen Thi Thuy     	female	07/07/2016	24, Duong Vo Van Hung, Phuong 1, Quan Binh Thanh, Thanh pho Ho Chi Minh         	2A3
HS034	Le Thi Thuy         	female	10/11/2015	34, Duong Nguyen Van Loi, Phuong 4, Quan Binh Thanh, Thanh pho Ho Chi Minh      	3A3
HS046	Hoang Thi Thu       	female	15/06/2014	46, Duong Phan Thi Hoa, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh        	4A3
HS051	Nguyen Thi Thu Trang	female	05/09/2013	51, Duong Hoang Thi Hang, Phuong 3, Quan Tan Binh, Thanh pho Ho Chi Minh        	5A1
HS059	Nguyen Thi Thu Hien 	female	08/05/2013	59, Duong Nguyen Thi Lan, Phuong 9, Quan Tan Binh, Thanh pho Ho Chi Minh        	5A3
================================================================
